date,open,close,high,low,mid,ma7,ma30,pct_change,year_month,weekday
2026-06-19,1538.28,1526.25,1540.39,1526.18,1533.285,1522.3342857142857,1511.9768333333334,0.12537833893291328,2026-06,Friday
2026-06-22,1526.38,1538.29,1541.47,1526.38,1533.925,1523.6492857142857,1514.1276666666668,0.04174044616622741,2026-06,Monday
2026-06-23,1538.29,1532.88,1542.22,1531.09,1536.655,1525.9435714285714,1515.8761666666667,0.17797480320094206,2026-06,Tuesday
2026-06-24,1532.88,1542.26,1548.49,1530.01,1539.25,1529.935714285714,1517.4055,0.16887329947190555,2026-06,Wednesday
2026-06-25,1542.26,1545.05,1549.16,1536.07,1542.615,1534.0385714285715,1519.1016666666667,0.2186129608575671,2026-06,Thursday
2026-06-26,1545.06,1535.31,1550.27,1532.8,1541.535,1536.9471428571428,1520.4898333333335,-0.07001098783558923,2026-06,Friday
2026-06-29,1535.29,1540.6,1545.85,1534.78,1540.315,1538.2257142857143,1521.9018333333333,-0.07914189428069873,2026-06,Monday
2026-06-30,1540.77,1547.29,1555.02,1540.44,1547.73,1540.2892857142856,1523.4705000000001,0.48139503932635996,2026-06,Tuesday
2026-07-01,1547.27,1550.86,1559.06,1545.14,1552.1,1542.8857142857144,1525.1043333333332,0.28234898851866586,2026-07,Wednesday
2026-07-02,1550.86,1540.07,1556.62,1536.53,1546.575,1544.3028571428572,1526.5204999999999,-0.35596933187294066,2026-07,Thursday
2026-07-03,1540.09,1529.2,1548.09,1525.65,1536.87,1543.962857142857,1527.3556666666666,-0.6275156393967363,2026-07,Friday
2026-07-06,1529.24,1528.75,1537.17,1526.51,1531.84,1542.4235714285714,1527.9705000000001,-0.3272885800360448,2026-07,Monday
